Cid	A	B	C	D	E	NAME	FORMULA	EXACT_MASS	MOL_WEIGHT	REMARK	PubChem	ChEBI	ChEMBL	PDB.CCD	LIPIDMAPS	LipidBank	SEQUENCE
C00186	Target-based Classification of Compounds	G Protein-coupled receptors	Rhodopsin family: other receptors	Lactate		(S)-Lactate;L-Lactate;L-Lactic acid	C3H6O3	90.0317	90.0779		3486	16651 422	CHEMBL330546	2OP			
C00187	Compounds with Biological Roles	Steroids	27-Carbon atoms	Cholestane derivatives 		Cholesterol;Cholest-5-en-3beta-ol	C27H46O	386.3549	386.6535	Same as: D00040	3487	16113	CHEMBL112570 CHEMBL1867358	CLR			
C00187	Lipids	ST  Sterol Lipids	ST01 Sterols	ST0101 Cholesterol and derivatives		Cholesterol;Cholest-5-en-3beta-ol	C27H46O	386.3549	386.6535	Same as: D00040	3487	16113	CHEMBL112570 CHEMBL1867358	CLR			
C00187	Phytochemical Compounds	Terpenoids	Steroids	Cholestane		Cholesterol;Cholest-5-en-3beta-ol	C27H46O	386.3549	386.6535	Same as: D00040	3487	16113	CHEMBL112570 CHEMBL1867358	CLR			
C00188	Compounds with Biological Roles	Peptides	Amino acids	Common amino acids 		L-Threonine;2-Amino-3-hydroxybutyric acid	C4H9NO3	119.0582	119.1192	Same as: D00041	3488	16857	CHEMBL291747	THR			
C00189	Compounds with Biological Roles	Peptides	Amines	Biogenic amines 		Ethanolamine;Aminoethanol;2-Hydroxyethylamine	C2H7NO	61.0528	61.0831	Same as: D05074	3489	16000	CHEMBL104943	ETA			
C00191	Compounds with Biological Roles	Carbohydrates	Monosaccharides	Sugar acids 		D-Glucuronate;Glucuronic acid;Glucuronate	C6H10O7	194.0427	194.1394		3491	15748 4178 47952	CHEMBL1159524 CHEMBL496672	BDP GCU			
C00194	Compounds with Biological Roles	Vitamins and Cofactors	Cofactors	Coenzymes 		Cobamide coenzyme;Adenosylcobalamin;Adenosylcob(III)alamin;Deoxyadenosylcobalamin;Cobamamide;Vitamin B12 coenzyme;5,6-Dimethylbenzimidazolyl-5-deoxyadenosyl-cobamide;(5'-Deoxy-5'-adenosyl)cobamide coenzyme;(5,6-Dimethylbenzimidazolyl)cobamide coenzyme;alpha-(5,6-Dimethylbenzimidazolyl)cobamide coenzyme;5'-Deoxy-5'-adenosylcobalamin;5'-Deoxy-5'-adenosyl vitamin B12;5'-Deoxy-5'-adenosyl-5,6-dimethylbenzimidazolylcobamide;5,6-Dimethylbenzimidazolyl-Co-5'-deoxy-5'-adenosylcobamide;Calomide;Cobalamin coenzyme;Coenzyme B12;DMBC coenzyme;Dibencozide;Funacomide	C72H100CoN18O17P	1578.6583	1579.5818	Same as: D00042	3494	18408					
C00195	Lipids	SP  Sphingolipids	SP02 Ceramides	SP0201 N-acylsphingosines (ceramides)		N-Acylsphingosine;Ceramide;N-Acylsphing-4-enine;(4E)-Sphing-4-enine ceramide	C19H36NO3R				3495	17761 52639					
C00202	Target-based Classification of Compounds	Enzymes	Hydrolases	ACHE; acetylcholinesterase 		Isoflurophate;Diisopropyl fluorophosphate;DFP	C6H14FO3P	184.0665	184.1457	Same as: D00043	3502	17941	CHEMBL1025				
C00202	Target-based Classification of Compounds	Enzymes	Hydrolases	BCHE; cholinesterase 		Isoflurophate;Diisopropyl fluorophosphate;DFP	C6H14FO3P	184.0665	184.1457	Same as: D00043	3502	17941	CHEMBL1025				
C00206	Compounds with Biological Roles	Nucleic acids	Nucleotides 	Deoxyribonucleotides		dADP;2'-Deoxyadenosine 5'-diphosphate	C10H15N5O9P2	411.0345	411.2017		3506	16174		DAT			
C00208	Compounds with Biological Roles	Carbohydrates	Oligosaccharides 	Disaccharides		Maltose;Malt sugar;alpha-D-Glucopyranosyl-(1->4)-D-glucopyranose	C12H22O11	342.1162	342.2965	Same as: D00044 G00275	3508	17306	CHEMBL1908365	MAL N9S			
C00209	Compounds with Biological Roles	Organic acids	Carboxylic acids 	Dicarboxylic acids		Oxalate;Oxalic acid;Ethanedioic acid	C2H2O4	89.9953	90.0349		3509	16995 30623	CHEMBL146755	OXD OXL			
C00212	Compounds with Biological Roles	Nucleic acids	Nucleosides 	Ribonucleosides		Adenosine	C10H13N5O4	267.0968	267.2413	Same as: D00045	3512	16335	CHEMBL477	ADN			
C00214	Compounds with Biological Roles	Nucleic acids	Nucleosides 	Deoxyribonucleosides		Thymidine;Deoxythymidine	C10H14N2O5	242.0903	242.2286		3514	17748	CHEMBL52609	THM			
C00216	Compounds with Biological Roles	Carbohydrates	Monosaccharides	Aldoses 		D-Arabinose	C5H10O5	150.0528	150.1299		3516	17108 46994	CHEMBL1222249	64K			
C00217	Compounds with Biological Roles	Peptides	Amino acids	Other amino acids 		D-Glutamate;D-Glutamic acid;D-Glutaminic acid;D-2-Aminoglutaric acid	C5H9NO4	147.0532	147.1293		3517	15966	CHEMBL76232	DGL FGA			
C00219	Compounds with Biological Roles	Lipids	Fatty acids 	Unsaturated fatty acids		Arachidonate;Arachidonic acid;(5Z,8Z,11Z,14Z)-Icosatetraenoic acid;cis-5,8,11,14-Eicosatetraenoic acid;5Z,8Z,11Z,14Z-Eicosatetraenoic acid;(5Z,8Z,11Z,14Z)-Icosa-5,8,11,14-tetraenoic acid	C20H32O2	304.2402	304.4669		3519	15843	CHEMBL15594	ACD			
C00219	Lipids	FA  Fatty acyls	FA01 Fatty Acids and Conjugates	FA0103 Unsaturated fatty acids		Arachidonate;Arachidonic acid;(5Z,8Z,11Z,14Z)-Icosatetraenoic acid;cis-5,8,11,14-Eicosatetraenoic acid;5Z,8Z,11Z,14Z-Eicosatetraenoic acid;(5Z,8Z,11Z,14Z)-Icosa-5,8,11,14-tetraenoic acid	C20H32O2	304.2402	304.4669		3519	15843	CHEMBL15594	ACD			
C00222	Compounds with Biological Roles	Organic acids	Carboxylic acids 	3-Oxocarboxylic acids		3-Oxopropanoate;Malonate semialdehyde	C3H4O3	88.016	88.0621		3522	17960 33190		FK2			
C00223	Phytochemical Compounds	Phenylpropanoids	Monolignols	Paracoumaryl alcohol derivatives		p-Coumaroyl-CoA;4-Coumaroyl-CoA;4-Hydroxycinnamoyl-CoA;trans-4-Coumaroyl-CoA	C30H42N7O18P3S	913.152	913.6769		3523	15499	CHEMBL250086	WCA			
C00232	Compounds with Biological Roles	Organic acids	Carboxylic acids 	4-Oxocarboxylic acid		Succinate semialdehyde;Succinic semialdehyde;4-Oxobutanoate	C4H6O3	102.0317	102.0886		3531	16265		SSN			
C00233	Compounds with Biological Roles	Organic acids	Carboxylic acids 	2-Oxocarboxylic acids		4-Methyl-2-oxopentanoate;2-Oxoisocaproate	C6H10O3	130.063	130.1418		3532	17865 48430	CHEMBL445647	COI			
C00235	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0101 C5 isoprenoids (hemiterpenes)		Dimethylallyl diphosphate;2-Isopentenyl diphosphate;Delta2-Isopentenyl diphosphate;Dimethylallyl pyrophosphate;DMAPP;Monoprenyl diphosphate;Prenyl diphosphate	C5H12O7P2	246.0058	246.0921		3534	16057	CHEMBL343480	DMA			
C00239	Compounds with Biological Roles	Nucleic acids	Nucleotides 	Deoxyribonucleotides		dCMP;Deoxycytidylic acid;Deoxycytidine monophosphate;Deoxycytidylate;2'-Deoxycytidine 5'-monophosphate	C9H14N3O7P	307.0569	307.1971		3538	15918	CHEMBL374699	DC DCM DNR			
C00242	Compounds with Biological Roles	Nucleic acids	Bases 	Purines		Guanine;2-Amino-6-hydroxypurine	C5H5N5O	151.0494	151.1261		3541	16235	CHEMBL219568	GUN			
C00243	Compounds with Biological Roles	Carbohydrates	Oligosaccharides 	Disaccharides		Lactose;1-beta-D-Galactopyranosyl-4-D-glucopyranose;beta-D-Gal-(1->4)-D-Glc;Milk sugar	C12H22O11	342.1162	342.2965	Same as: D00046 G10504	3542	17716	CHEMBL417016	LAT LBT			
C00246	Compounds with Biological Roles	Organic acids	Carboxylic acids 	Monocarboxylic acids		Butanoic acid;Butanoate;Butyrate;Butyric acid	C4H8O2	88.0524	88.1051		3545	17968 30772	CHEMBL14227	BUA			
C00246	Compounds with Biological Roles	Lipids	Fatty acids 	Saturated fatty acids		Butanoic acid;Butanoate;Butyrate;Butyric acid	C4H8O2	88.0524	88.1051		3545	17968 30772	CHEMBL14227	BUA			
C00246	Lipids	FA  Fatty acyls	FA01 Fatty Acids and Conjugates	FA0101 Straight chain fatty acids		Butanoic acid;Butanoate;Butyrate;Butyric acid	C4H8O2	88.0524	88.1051		3545	17968 30772	CHEMBL14227	BUA			
C00246	Phytochemical Compounds	Fatty acids related compounds	Fatty acids	Saturated fatty acids		Butanoic acid;Butanoate;Butyrate;Butyric acid	C4H8O2	88.0524	88.1051		3545	17968 30772	CHEMBL14227	BUA			
C00247	Compounds with Biological Roles	Carbohydrates	Monosaccharides	Ketoses 		L-Sorbose;L-xylo-Hexulose	C6H12O6	180.0634	180.1559		3546	48649		SOE			
C00249	Compounds with Biological Roles	Lipids	Fatty acids 	Saturated fatty acids		Hexadecanoic acid;Hexadecanoate;Hexadecylic acid;Palmitic acid;Palmitate;Cetylic acid	C16H32O2	256.2402	256.4241	Same as: D05341	3548	15756	CHEMBL82293	PLM			
C00249	Lipids	FA  Fatty acyls	FA01 Fatty Acids and Conjugates	FA0101 Straight chain fatty acids		Hexadecanoic acid;Hexadecanoate;Hexadecylic acid;Palmitic acid;Palmitate;Cetylic acid	C16H32O2	256.2402	256.4241	Same as: D05341	3548	15756	CHEMBL82293	PLM			
C00249	Phytochemical Compounds	Fatty acids related compounds	Fatty acids	Saturated fatty acids		Hexadecanoic acid;Hexadecanoate;Hexadecylic acid;Palmitic acid;Palmitate;Cetylic acid	C16H32O2	256.2402	256.4241	Same as: D05341	3548	15756	CHEMBL82293	PLM			
C00250	Compounds with Biological Roles	Vitamins and Cofactors	Vitamins	Water-soluble vitamins 		Pyridoxal	C8H9NO3	167.0582	167.162		3549	17310	CHEMBL102970	PXL			
C00252	Compounds with Biological Roles	Carbohydrates	Oligosaccharides 	Disaccharides		Isomaltose;Brachiose	C12H22O11	342.1162	342.2965	Same as: G01318	3551	28189	CHEMBL134478 CHEMBL66675				
C00253	Compounds with Biological Roles	Vitamins and Cofactors	Vitamins	Water-soluble vitamins 		Nicotinate;Nicotinic acid;Niacin;3-Pyridinecarboxylic acid	C6H5NO2	123.032	123.1094	Same as: D00049	3552	15940	CHEMBL573	NIO			
C00253	Phytochemical Compounds	Alkaloids	Alkaloids derived from nicotinic acid	Pyridine alkaloids		Nicotinate;Nicotinic acid;Niacin;3-Pyridinecarboxylic acid	C6H5NO2	123.032	123.1094	Same as: D00049	3552	15940	CHEMBL573	NIO			
C00255	Compounds with Biological Roles	Vitamins and Cofactors	Vitamins	Water-soluble vitamins 		Riboflavin;Lactoflavin;7,8-Dimethyl-10-ribitylisoalloxazine;Vitamin B2	C17H20N4O6	376.1383	376.3639	Same as: D00050	3554	17015	CHEMBL1534	RBF			
C00257	Compounds with Biological Roles	Carbohydrates	Monosaccharides	Sugar acids 		D-Gluconic acid;D-Gluconate;D-gluco-Hexonic acid	C6H12O7	196.0583	196.1553		3556	18391 33198	CHEMBL464345	GCO			
C00259	Compounds with Biological Roles	Carbohydrates	Monosaccharides	Aldoses 		L-Arabinose;L-Arabinopyranose	C5H10O5	150.0528	150.1299		3558	17535	CHEMBL1357418 CHEMBL505348	ARA ARB			
C00262	Phytochemical Compounds	Alkaloids	Others	Purine alkaloids		Hypoxanthine;Purine-6-ol	C5H4N4O	136.0385	136.1115		3560	17368	CHEMBL1427	HPA			
C00263	Compounds with Biological Roles	Peptides	Amino acids	Other amino acids 		L-Homoserine;2-Amino-4-hydroxybutyric acid	C4H9NO3	119.0582	119.1192		3561	15699	CHEMBL11722	HSE			
C00269	Lipids	GP  Glycerophospholipids	GP13 CDP-Glycerols	GP1301 CDP-diacylglycerols		CDP-diacylglycerol;CDP-1,2-diacylglycerol;1,2-Diacyl-sn-glycero-3-cytidine-5'-diphosphate	C14H19N3O15P2R2				3567	17962					
C00270	Compounds with Biological Roles	Carbohydrates	Monosaccharides	Amino sugars 		N-Acetylneuraminate;N-Acetylneuraminic acid;5-Acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonulosonic acid;Neu5Ac	C11H19NO9	309.106	309.2699	Same as: D11016	3568	17012	CHEMBL1234621 CHEMBL165084	SIA SLB			
C00272	Compounds with Biological Roles	Vitamins and Cofactors	Cofactors	Coenzymes 		Tetrahydrobiopterin;5,6,7,8-Tetrahydrobiopterin;2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydoro-4(1H)-pteridinone;L-erythro-Tetrahydrobiopterin	C9H15N5O3	241.1175	241.2471		3570	15372 59560	CHEMBL1201774	H4B			
C00280	Compounds with Biological Roles	Steroids	19-Carbon atoms	Androstane derivatives 		Androstenedione;Androst-4-ene-3,17-dione;4-Androstene-3,17-dione	C19H26O2	286.1933	286.4085	Same as: D00051	3575	16422	CHEMBL2140059 CHEMBL274826	ASD			
C00280	Compounds with Biological Roles	Hormones and transmitters	Steroid hormones	Androgens		Androstenedione;Androst-4-ene-3,17-dione;4-Androstene-3,17-dione	C19H26O2	286.1933	286.4085	Same as: D00051	3575	16422	CHEMBL2140059 CHEMBL274826	ASD			
C00280	Lipids	ST  Sterol Lipids	ST02 Steroids	ST0202 C19 steroids (androgens) and derivatives		Androstenedione;Androst-4-ene-3,17-dione;4-Androstene-3,17-dione	C19H26O2	286.1933	286.4085	Same as: D00051	3575	16422	CHEMBL2140059 CHEMBL274826	ASD			
C00280	Phytochemical Compounds	Terpenoids	Steroids	Androstane		Androstenedione;Androst-4-ene-3,17-dione;4-Androstene-3,17-dione	C19H26O2	286.1933	286.4085	Same as: D00051	3575	16422	CHEMBL2140059 CHEMBL274826	ASD			
C00286	Compounds with Biological Roles	Nucleic acids	Nucleotides 	Deoxyribonucleotides		dGTP;2'-Deoxyguanosine 5'-triphosphate;Deoxyguanosine 5'-triphosphate;Deoxyguanosine triphosphate	C10H16N5O13P3	506.9957	507.181		3581	16497	CHEMBL477486	DGT			
C00291	Carcinogens	Group 2B: Possibly carcinogenic to humans	Compounds	C00291  Nickel	Nasal cavity and paranasal sinus, lung	Nickel	Ni	57.9353	58.6934		3585	28112					
C00299	Compounds with Biological Roles	Nucleic acids	Nucleosides 	Ribonucleosides		Uridine	C9H12N2O6	244.0695	244.2014		3593	16704	CHEMBL100259	URI			
C00304	Compounds with Biological Roles	Antibiotics	Aminoglycosides 	2-Deoxystreptamines		Kanamycin	C18H33N3O10(R1)(R2)			ATC code: A07AA08 J01GB04 S01AA24///Drug group: DG00085	3598	6104					
C00306	Bioactive Peptides	Cardiovascular peptides	Bradykinin	C00306  Bradykinin		Bradykinin	C50H73N15O11	1059.5614	1060.2085		3600		CHEMBL406291				
C00306	Compounds with Biological Roles	Hormones and transmitters	Peptide hormones	Bradykinin 		Bradykinin	C50H73N15O11	1059.5614	1060.2085		3600		CHEMBL406291				
C00306	Target-based Classification of Compounds	G Protein-coupled receptors	Rhodopsin family: peptide receptors	Bradykinin		Bradykinin	C50H73N15O11	1059.5614	1060.2085		3600		CHEMBL406291				
C00309	Compounds with Biological Roles	Carbohydrates	Monosaccharides	Ketoses 		D-Ribulose;D-erythro-2-Pentulose;D-Arabinoketose;D-Arabinulose;D-Riboketose	C5H10O5	150.0528	150.1299		3603	17173	CHEMBL1341376				
C00310	Compounds with Biological Roles	Carbohydrates	Monosaccharides	Ketoses 		D-Xylulose;D-threo-Pentulose;D-Lyxulose	C5H10O5	150.0528	150.1299		3604	17140		XLF			
C00311	Compounds with Biological Roles	Organic acids	Carboxylic acids 	Tricarboxylic acids		Isocitrate;Isocitric acid;1-Hydroxytricarballylic acid;1-Hydroxypropane-1,2,3-tricarboxylic acid	C6H8O7	192.027	192.1235		3605	16087 30887	CHEMBL539669				
C00312	Compounds with Biological Roles	Carbohydrates	Monosaccharides	Ketoses 		L-Xylulose;L-threo-Pentulose;L-Lyxulose	C5H10O5	150.0528	150.1299		3606	17399					
C00314	Compounds with Biological Roles	Vitamins and Cofactors	Vitamins	Water-soluble vitamins 		Pyridoxine;Pyridoxol	C8H11NO3	169.0739	169.1778	Same as: D08454	3608	16709	CHEMBL1364	UEG			
C00319	Lipids	SP  Sphingolipids	SP01 Sphingoid bases	SP0101 Sphing-4-enines (Sphingosines)		Sphingosine;Sphingenine;Sphingoid;Sphing-4-enine	C18H37NO2	299.2824	299.4919		3613	16393	CHEMBL67166	SQS			
C00322	Compounds with Biological Roles	Organic acids	Carboxylic acids 	2-Oxocarboxylic acids		2-Oxoadipate;2-Oxoadipic acid	C6H8O5	160.0372	160.1247		3616	15753		OOG			
C00323	Phytochemical Compounds	Phenylpropanoids	Monolignols	Caffeate derivatives		Caffeoyl-CoA;(2E)-3-(3,4-Dihydroxyphenyl)prop-2-enoyl-CoA	C30H42N7O19P3S	929.1469	929.6763		3617	15518					
C00327	Compounds with Biological Roles	Peptides	Amino acids	Other amino acids 		L-Citrulline;2-Amino-5-ureidovaleric acid;Citrulline	C6H13N3O3	175.0957	175.1857	Same as: D07706	3621	16349	CHEMBL444814	CIR			
C00329	Compounds with Biological Roles	Carbohydrates	Monosaccharides	Amino sugars 		D-Glucosamine;Chitosamine;2-Amino-2-deoxy-D-glucose	C6H13NO5	179.0794	179.1711	Same as: D04334	3623	47977	CHEMBL234432 CHEMBL493287 CHEMBL606759	GCS PA1			
C00330	Compounds with Biological Roles	Nucleic acids	Nucleosides 	Deoxyribonucleosides		Deoxyguanosine;2'-Deoxyguanosine	C10H13N5O4	267.0968	267.2413		3624	17172	CHEMBL68908	GNG			
C00333	Compounds with Biological Roles	Carbohydrates	Monosaccharides	Sugar acids 		D-Galacturonate;D-Galacturonic acid	C6H10O7	194.0427	194.1394		3627	12952 4153		ADA GTR			
C00334	Compounds with Biological Roles	Peptides	Amino acids	Other amino acids 		4-Aminobutanoate;4-Aminobutanoic acid;4-Aminobutyrate;4-Aminobutyric acid;gamma-Aminobutyric acid;GABA	C4H9NO2	103.0633	103.1198	Same as: D00058	3628	16865 30566	CHEMBL96	ABU			
C00334	Compounds with Biological Roles	Peptides	Amines	Biogenic amines 		4-Aminobutanoate;4-Aminobutanoic acid;4-Aminobutyrate;4-Aminobutyric acid;gamma-Aminobutyric acid;GABA	C4H9NO2	103.0633	103.1198	Same as: D00058	3628	16865 30566	CHEMBL96	ABU			
C00334	Compounds with Biological Roles	Hormones and transmitters	Neurotransmitters 	Amino acids		4-Aminobutanoate;4-Aminobutanoic acid;4-Aminobutyrate;4-Aminobutyric acid;gamma-Aminobutyric acid;GABA	C4H9NO2	103.0633	103.1198	Same as: D00058	3628	16865 30566	CHEMBL96	ABU			
C00334	Lipids	FA  Fatty acyls	FA01 Fatty Acids and Conjugates	FA0110 Amino fatty acids		4-Aminobutanoate;4-Aminobutanoic acid;4-Aminobutyrate;4-Aminobutyric acid;gamma-Aminobutyric acid;GABA	C4H9NO2	103.0633	103.1198	Same as: D00058	3628	16865 30566	CHEMBL96	ABU			
C00341	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0102 C10 isoprenoids (monoterpenes)		Geranyl diphosphate	C10H20O7P2	314.0684	314.2091		3634	17211	CHEMBL41342	GPP			
C00341	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Linear monoterpenes		Geranyl diphosphate	C10H20O7P2	314.0684	314.2091		3634	17211	CHEMBL41342	GPP			
C00344	Compounds with Biological Roles	Lipids	Phospholipids 	Glycerophospholipids		Phosphatidylglycerol;3-(3-sn-Phosphatidyl)glycerol;3(3-Phosphatidyl-)glycerol;PtdGro	C8H13O10PR2				3637	17517					
C00348	Lipids	PR  Prenol Lipids	PR03 Polyprenols	PR0302 Bactoprenol monophosphates		all-trans-Undecaprenyl phosphate	C55H91O4P	846.6655	847.2824		3641	16141					
C00350	Compounds with Biological Roles	Lipids	Phospholipids 	Glycerophospholipids		Phosphatidylethanolamine;(3-Phosphatidyl)ethanolamine;(3-Phosphatidyl)-ethanolamine;Cephalin;O-(1-beta-Acyl-2-acyl-sn-glycero-3-phospho)ethanolamine;1-Acyl-2-acyl-sn-glycero-3-phosphoethanolamine;L-1-Phosphatidylethanolamine	C7H12NO8PR2				3643	16038					
C00350	Lipids	GP  Glycerophospholipids	GP02 Glycerophosphoethanolamines	GP0201 Diacylglycerophosphoethanolamines		Phosphatidylethanolamine;(3-Phosphatidyl)ethanolamine;(3-Phosphatidyl)-ethanolamine;Cephalin;O-(1-beta-Acyl-2-acyl-sn-glycero-3-phospho)ethanolamine;1-Acyl-2-acyl-sn-glycero-3-phosphoethanolamine;L-1-Phosphatidylethanolamine	C7H12NO8PR2				3643	16038					
C00353	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0104 C20 isoprenoids (diterpenes)		Geranylgeranyl diphosphate;Geranylgeranyl pyrophosphate;all-trans-Geranylgeranyl diphosphate;all-trans-Geranylgeranyl pyrophosphate;(2E,6E,10E)-3,7,11,15-Tetramethylhexadeca-2,6,10,14-tetraen-1-yl diphosphate	C20H36O7P2	450.1936	450.4432		3646	48861	CHEMBL1229266	GRG			
C00353	Phytochemical Compounds	Terpenoids	Diterpenoids (C20)	Linear diterpenes		Geranylgeranyl diphosphate;Geranylgeranyl pyrophosphate;all-trans-Geranylgeranyl diphosphate;all-trans-Geranylgeranyl pyrophosphate;(2E,6E,10E)-3,7,11,15-Tetramethylhexadeca-2,6,10,14-tetraen-1-yl diphosphate	C20H36O7P2	450.1936	450.4432		3646	48861	CHEMBL1229266	GRG			
C00355	Compounds with Biological Roles	Peptides	Amino acids	Other amino acids 		3,4-Dihydroxy-L-phenylalanine;L-Dopa;3-Hydroxy-L-tyrosine;L-beta-(3,4-Dihydroxyphenyl)alanine;Levodopa;Dihydroxy-L-phenylalanine	C9H11NO4	197.0688	197.1879	Same as: D00059	3648	15765	CHEMBL1009	DAH			
C00355	Compounds with Biological Roles	Hormones and transmitters	Neurotransmitters 	Amino acids		3,4-Dihydroxy-L-phenylalanine;L-Dopa;3-Hydroxy-L-tyrosine;L-beta-(3,4-Dihydroxyphenyl)alanine;Levodopa;Dihydroxy-L-phenylalanine	C9H11NO4	197.0688	197.1879	Same as: D00059	3648	15765	CHEMBL1009	DAH			
C00360	Compounds with Biological Roles	Nucleic acids	Nucleotides 	Deoxyribonucleotides		dAMP;2'-Deoxyadenosine 5'-phosphate;2'-Deoxyadenosine 5'-monophosphate;Deoxyadenylic acid;Deoxyadenosine monophosphate	C10H14N5O6P	331.0682	331.2218		3651	17713	CHEMBL1206239	D5M DA			
C00361	Compounds with Biological Roles	Nucleic acids	Nucleotides 	Deoxyribonucleotides		dGDP;2'-Deoxyguanosine 5'-diphosphate	C10H15N5O10P2	427.0294	427.2011		3652	28862	CHEMBL1232205	DGI			
C00362	Compounds with Biological Roles	Nucleic acids	Nucleotides 	Deoxyribonucleotides		dGMP;2'-Deoxyguanosine 5'-monophosphate;2'-Deoxyguanosine 5'-phosphate;Deoxyguanylic acid;Deoxyguanosine monophosphate	C10H14N5O7P	347.0631	347.2212		3653	16192	CHEMBL477487	DG DGP			
C00363	Compounds with Biological Roles	Nucleic acids	Nucleotides 	Deoxyribonucleotides		dTDP;Deoxythymidine 5'-diphosphate	C10H16N2O11P2	402.0229	402.1884		3654	18075	CHEMBL259724	TYD			
C00364	Compounds with Biological Roles	Nucleic acids	Nucleotides 	Deoxyribonucleotides		dTMP;Thymidine 5'-phosphate;Deoxythymidine 5'-phosphate;Thymidylic acid;5'-Thymidylic acid;Thymidine monophosphate;Deoxythymidylic acid;Thymidylate	C10H15N2O8P	322.0566	322.2085		3655	17013	CHEMBL394429	DT TMP			
C00365	Compounds with Biological Roles	Nucleic acids	Nucleotides 	Deoxyribonucleotides		dUMP;Deoxyuridylic acid;Deoxyuridine monophosphate;Deoxyuridine 5'-phosphate;2'-Deoxyuridine 5'-phosphate	C9H13N2O8P	308.041	308.1819		3656	17622	CHEMBL211312	DU UMP			
C00376	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0109 Retinoids		Retinal;Vitamin A aldehyde;Retinene;all-trans-Retinal;all-trans-Vitamin A aldehyde;all-trans-Retinene	C20H28O	284.214	284.4357		3666	17898	CHEMBL81379	RET			
C00378	Compounds with Biological Roles	Vitamins and Cofactors	Vitamins	Water-soluble vitamins 		Thiamine;Thiamin;Vitamin B1;Aneurin;Antiberiberi factor	C12H17N4OS	265.1123	265.3546		3668	18385	CHEMBL1547	VIB			
C00379	Compounds with Biological Roles	Carbohydrates	Monosaccharides	Sugar alcohols 		Xylitol	C5H12O5	152.0685	152.1458	Same as: D00061	3669	17151	CHEMBL1865120 CHEMBL96783	XYL			
