	Type	Common-Name
PWY-5738	GDP-Sugar-Biosynthesis	GDP-6-deoxy-D-talose biosynthesis
PWY-7323	Super-Pathways	superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis
PWY-7613	GDP-Sugar-Biosynthesis	GDP-6-deoxy-D-<i>manno</i>-heptose biosynthesis
GDPRHAMSYN-PWY	GDP-Sugar-Biosynthesis	GDP-D-rhamnose biosynthesis
PWY-5661	GDP-Sugar-Biosynthesis	GDP-glucose biosynthesis
PWY-5740	GDP-Sugar-Biosynthesis	GDP-L-colitose biosynthesis
PWY-5120	GGPP-Biosynthesis	geranylgeranyl diphosphate biosynthesis
PWY-5052	Super-Pathways	superpathway of gibberellin biosynthesis
PWY-5053	Super-Pathways	superpathway of gibberellin GA<sub>12</sub> biosynthesis
PWY-102	Metabolic-Clusters	gibberellin inactivation I (2&beta;-hydroxylation)
PWY-7620	Naphthalene-Degradation	naphthalene degradation (anaerobic)
PWY-5427	Naphthalene-Degradation	naphthalene degradation (aerobic)
PWY-5274	Sulfide-Oxidation	sulfide oxidation II (sulfide dehydrogenase)
PWY-7046	PHENYLPROPANOID-DERIVATIVE-DEG	4-coumarate degradation (anaerobic)
PWY-8002	PHENYLPROPANOID-DERIVATIVE-DEG	4-coumarate degradation (aerobic)
PWY-6343	PHENYLPROPANOID-DERIVATIVE-DEG	ferulate degradation
PWY-8003	PHENYLPROPANOID-DERIVATIVE-DEG	<i>trans</i>-caffeate degradation (aerobic)
NADPHOS-DEPHOS-PWY	NAD-Metabolism	NAD phosphorylation and dephosphorylation
NADPHOS-DEPHOS-PWY-1	NAD-Metabolism	NAD phosphorylation and transhydrogenation
NAD-BIOSYNTHESIS-II	NAD-SYN	NAD salvage pathway III (to nicotinamide riboside)
PWY-981	Salicylate-Biosynthesis	salicylate biosynthesis II
PWY3O-4106	NAD-SYN	NAD salvage pathway IV (from nicotinamide riboside)
PYRIDNUCSYN-PWY	NAD-SYN	NAD <i>de novo</i> biosynthesis I (from aspartate)
PWY-6406	Salicylate-Biosynthesis	salicylate biosynthesis I
NADSYN-PWY	Super-Pathways	NAD <i>de novo</i> biosynthesis II (from tryptophan)
PWY-7761	NAD-SYN	NAD salvage pathway II (PNC IV cycle)
PYRIDNUCSAL-PWY	NAD-SYN	NAD salvage pathway I (PNC VI cycle)
NAD-BIOSYNTHESIS-III	NAD-SYN	NAD biosynthesis III (from nicotinamide)
PWY-5653	NAD-SYN	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde
PWY-6690	Phenolic-Compounds-Degradation	cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate
HCAMHPDEG-PWY	Phenolic-Compounds-Degradation	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate
PWY-6080	Phenolic-Compounds-Degradation	4-ethylphenol degradation (anaerobic)
PWY-7757	Phenolic-Compounds-Degradation	bisphenol A degradation
P281-PWY	Super-Pathways	3-phenylpropanoate degradation
PWY-6471	Super-Pathways	peptidoglycan biosynthesis IV (Enterococcus faecium)
PWY-7627	Nitrophenol-Degradation	2,4,6-trinitrophenol and 2,4-dinitrophenol degradation
PWY-6470	Super-Pathways	peptidoglycan biosynthesis V (&beta;-lactam resistance)
PWY-7096	Antibiotic-Resistance	triclosan resistance
PWY-6828	Antibiotic-Resistance	linezolid resistance
PWY0-1338	Lipopolysaccharide-Biosynthesis	polymyxin resistance
PWY-7347	Sucrose-Biosynthesis	sucrose biosynthesis III
PWY-6559	Spermidine-Biosynthesis	spermidine biosynthesis II
BSUBPOLYAMSYN-PWY	Spermidine-Biosynthesis	spermidine biosynthesis I
PWY-6834	Spermidine-Biosynthesis	spermidine biosynthesis III
PWY0-43	SUCC-DEG	conversion of succinate to propanoate
PWY-7860	Nitric-Oxide-Biosynthesis	nitric oxide biosynthesis III (bacteria)
PWY0-1261	Anhydromuropeptides-Recycling	anhydromuropeptides recycling I
PWY-7883	Anhydromuropeptides-Recycling	anhydromuropeptides recycling II
PWY-7683	NITROGEN-DEG	nitrite reduction (hemoglobin)
PWY-4984	NITROGEN-DEG	urea cycle
AMMOXID-PWY	CHEMOAUTOTROPHIC-ENERGY-METABOLISM	ammonia oxidation I (aerobic)
PWY-7082	Super-Pathways	ammonia oxidation IV (autotrophic ammonia oxidizers)
PWY-2242	Ammonia-oxidation	ammonia oxidation III
PWY-6694	Oxalate-Degradation	oxalate degradation I
PWY-7446	Sulfoquinovose-Degradation	sulfoquinovose degradation I
PWY-6697	Oxalate-Degradation	oxalate degradation IV
PWY-7722	Sulfoquinovose-Degradation	sulfoquinovose degradation II
PWY-6696	Oxalate-Degradation	oxalate degradation III
PWY-5831	CDP-Sugar-Biosynthesis	CDP-abequose biosynthesis
PWY-7985	Oxalate-Degradation	oxalate degradation VI
PWY-5834	CDP-Sugar-Biosynthesis	CDP-tyvelose biosynthesis
PWY-5830	CDP-Sugar-Biosynthesis	CDP-ascarylose biosynthesis
PWY-6695	Oxalate-Degradation	oxalate degradation II
PWY-5833	CDP-Sugar-Biosynthesis	CDP-4-dehydro-3,6-dideoxy-D-glucose biosynthesis
PWY-7127	CDP-Sugar-Biosynthesis	CDP-D-mannitol biosynthesis
PWY-6698	Oxalate-Degradation	oxalate degradation V
PWY-5823	Super-Pathways	superpathway of CDP-glucose-derived O-antigen building blocks biosynthesis
PWY-5832	CDP-Sugar-Biosynthesis	CDP-paratose biosynthesis
PWY-6998	CDP-Sugar-Biosynthesis	CDP-D-arabitol biosynthesis
PHOSLIPSYN-PWY	Super-Pathways	superpathway of phospholipid biosynthesis I (bacteria)
PWY-6349	Phospholipid-Biosynthesis	CDP-archaeol biosynthesis
PWY-6141	Super-Pathways	archaetidylserine and archaetidylethanolamine biosynthesis
PWY-6350	Super-Pathways	archaetidylinositol biosynthesis
PWY-5667	CDP-diacylglycerol-Biosynthesis	CDP-diacylglycerol biosynthesis I
PWY0-1319	CDP-diacylglycerol-Biosynthesis	CDP-diacylglycerol biosynthesis II
PWY-5981	CDP-diacylglycerol-Biosynthesis	CDP-diacylglycerol biosynthesis III
PWY-7457	Sulfite-Oxidation	sulfite oxidation V (SoeABC)
P282-PWY	Electron-Transfer	nitrite oxidation
PWY-5285	Sulfide-Oxidation	sulfide oxidation III (persulfide dioxygenase)
P222-PWY	Sulfide-Oxidation	sulfide oxidation I (sulfide-quinone reductase)
PWY-5276	Sulfite-Oxidation	sulfite oxidation I
SULFUROX-PWY	Sulfur-Oxidation	sulfur oxidation I (aerobic)
FESULFOX-PWY	Sulfur-Oxidation	sulfur oxidation II (Fe<sup>+3</sup>-dependent)
P301-PWY	CHEMOAUTOTROPHIC-ENERGY-METABOLISM	galena oxidation
PWY-5308	Thiosulfate-Disproportionation	superpathway of sulfur metabolism (<i>Desulfocapsa sulfoexigens</i>)
SHIKIMATEDEG-PWY	Shikimate-Degradation	shikimate degradation I
PWY-6419	Shikimate-Degradation	shikimate degradation II
PWY-1269	CMP-Sugar-Biosynthesis	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis
PWY-6140	CMP-Sugar-Biosynthesis	CMP-2-keto-3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-nononate biosynthesis
PWY-6143	CMP-Sugar-Biosynthesis	CMP-pseudaminate biosynthesis
PWY-6145	Super-Pathways	superpathway of CMP-sialic acids biosynthesis
PWY-7529	CMP-Sugar-Biosynthesis	CMP-<i>N</i>-acetyl-7-<i>O</i>-acetylneuraminate biosynthesis
PWY-7674	CMP-Sugar-Biosynthesis	CMP-8-amino-3,8-dideoxy-D-<I>manno</I>-octulosonate biosynthesis
PWY-7719	CMP-Sugar-Biosynthesis	CMP-diacetamido-8-epilegionaminic acid biosynthesis
PWY-6749	CMP-Legionaminate-Biosynthesis	CMP-legionaminate biosynthesis I
PWY-7131	CMP-Legionaminate-Biosynthesis	CMP-legionaminate biosynthesis II
PWY-6139	CMP-N-Acetylneuraminate-Biosynthesis	CMP-<i>N</i>-acetylneuraminate biosynthesis II (bacteria)
PWY-5499	COFACTOR-DEGRADATION	vitamin B<sub>6</sub> degradation
PWY-7398	COUMARIN-SYN	coumarins biosynthesis (engineered)
PWY-7304	COUMARIN-SYN	3-amino-4,7-dihydroxy-coumarin biosynthesis
PROUT-PWY	PROLINE-DEG	L-proline degradation
PWY-5055	Nicotinate-Degradation	nicotinate degradation III
PWY-5033	Nicotinate-Degradation	nicotinate degradation II
PWY-722	Nicotinate-Degradation	nicotinate degradation I
PWY-5971	Palmitate-Biosynthesis	palmitate biosynthesis II (bacteria and plants)
PHOTOALL-PWY	Super-Pathways	oxygenic photosynthesis
PWY-181	Photosynthesis	photorespiration
PWY-6993	Nicotine-Degradation	nicotine degradation II (pyrrolidine pathway)
P181-PWY	Nicotine-Degradation	nicotine degradation I (pyridine pathway)
PWY-7128	Nicotine-Degradation	nicotine degradation III (VPP pathway)
PWY-7845	Heme-Degradation	heme degradation II
PWY-7848	Heme-Degradation	heme degradation VII
PWY-7844	Heme-Degradation	heme degradation III
PWY-7847	Heme-Degradation	heme degradation VI
PWY-7843	Heme-Degradation	heme degradation IV
PWY-7846	Heme-Degradation	heme degradation V
PWY4FS-8	Super-Pathways	phosphatidylglycerol biosynthesis II (non-plastidic)
PWY4FS-7	Super-Pathways	phosphatidylglycerol biosynthesis I (plastidic)
PWY-6654	Pantothenate-Biosynthesis	phosphopantothenate biosynthesis III (archaebacteria)
PANTO-PWY	Pantothenate-Biosynthesis	phosphopantothenate biosynthesis I
PWY-2722	Trehalose-Degradation	trehalose degradation IV
PWY0-1466	Trehalose-Degradation	trehalose degradation VI (periplasmic)
PWY-5418	Phenol-Degradation	phenol degradation I (aerobic)
PWY-2721	Trehalose-Degradation	trehalose degradation III
PHENOLDEG-PWY	Phenol-Degradation	phenol degradation II (anaerobic)
PWY0-1182	Trehalose-Degradation	trehalose degradation II (cytosolic)
TREDEGLOW-PWY	Trehalose-Degradation	trehalose degradation I (low osmolarity)
PWY-5063	Phytyl-Diphosphate-Biosynthesis	phytyl diphosphate biosynthesis
PWY-7790	UMP-Biosynthesis	UMP biosynthesis II
PWY-7822	Chitin-Degradation	chitin degradation III (Serratia)
PWY-6906	Chitin-Degradation	chitin derivatives degradation
PWY-5686	UMP-Biosynthesis	UMP biosynthesis I
PWY-6902	Chitin-Degradation	chitin degradation II (Vibrio)
PWY-6855	Chitin-Degradation	chitin degradation I (archaea)
PWY-7791	UMP-Biosynthesis	UMP biosynthesis III
PWY-6083	Chlorobenzene-Degradation	chlorobenzene degradation
PWY-6099	Chlorobenzene-Degradation	1,2,4,5-tetrachlorobenzene degradation
TCA	TCA-VARIANTS	TCA cycle I (prokaryotic)
PWY-6081	Chlorobenzene-Degradation	1,3-dichlorobenzene degradation
PWY-6091	Chlorobenzene-Degradation	1,2,4-trichlorobenzene degradation
P105-PWY	TCA-VARIANTS	TCA cycle IV (2-oxoglutarate decarboxylase)
14DICHLORBENZDEG-PWY	Chlorobenzene-Degradation	1,4-dichlorobenzene degradation
PWY-6090	Chlorobenzene-Degradation	1,2-dichlorobenzene degradation
PWY-6969	TCA-VARIANTS	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)
REDCITCYC	TCA-VARIANTS	TCA cycle VIII (Helicobacter)
PWY-5913	TCA-VARIANTS	partial TCA cycle (obligate autotrophs)
PWY-5297	Porphyrin-Compounds-Biosynthesis	siroheme amide biosynthesis
PWY-5194	Porphyrin-Compounds-Biosynthesis	siroheme biosynthesis
PWY-7254	TCA-VARIANTS	TCA cycle VII (acetate-producers)
PWY-7760	Chlorophyll-Biosynthesis	bacteriochlorophyll <i>e</i> biosynthesis
PWY-7759	Chlorophyll-Biosynthesis	bacteriochlorophyll <i>c</i> biosynthesis
PWY-7758	Chlorophyll-Biosynthesis	bacteriochlorophyll <i>d</i> biosynthesis
PWY-7762	Chlorophyll-Biosynthesis	bacteriochlorophyll <i>b</i> biosynthesis
PWY-5526	Chlorophyll-Biosynthesis	bacteriochlorophyll <i>a</i> biosynthesis
PWY-7817	Teichoic-Acids-Biosynthesis	type I lipoteichoic acid biosynthesis (<i>S. aureus</i>)
TEICHOICACID-PWY	Teichoic-Acids-Biosynthesis	poly(glycerol phosphate) wall teichoic acid biosynthesis
PWY-5068	Chlorophyll-a-Biosynthesis	chlorophyll cycle
PWY-7816	Teichoic-Acids-Biosynthesis	poly(ribitol phosphate) wall teichoic acid biosynthesis II (<i>S. aureus</i>)
PWY-7764	Chlorophyll-a-Biosynthesis	chlorophyll <i>a</i> biosynthesis III
PWY-7819	Teichoic-Acids-Biosynthesis	poly(3-O-&beta;-D-glucopyranosyl-<i>N</i>-acetylgalactosamine 1-phosphate) wall teichoic acid biosynthesis
PWY-5529	Super-Pathways	superpathway of bacteriochlorophyll <i>a</i> biosynthesis
PWY-5086	Chlorophyll-a-Biosynthesis	chlorophyll <i>a</i> biosynthesis I
PWY-7815	Teichoic-Acids-Biosynthesis	poly(ribitol phosphate) wall teichoic acid biosynthesis I (<i>B. subtilis</i>)
2PHENDEG-PWY	Phenylethylamine-Degradation	phenylethylamine degradation I
PWY-7818	Teichoic-Acids-Biosynthesis	type IV lipoteichoic acid biosynthesis (<i>S. pneumoniae</i>)
PWY-6534	Phenylethylamine-Degradation	phenylethylamine degradation II
PWY-7467	Teichoic-Acids-Biosynthesis	2-acetamido-4-amino-2,4,6-trideoxy-&alpha;-D-galactosyl-diphospho-<i>ditrans,octacis</i>-undecaprenol biosynthesis
PWY-7159	Chlorophyllide-a-Biosynthesis	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)
PWY-5531	Chlorophyllide-a-Biosynthesis	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis II (anaerobic)
CHLOROPHYLL-SYN	Chlorophyllide-a-Biosynthesis	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)
PWY-7098	Vanillin-Degradation	vanillin and vanillate degradation II
PWY-7097	Vanillin-Degradation	vanillin and vanillate degradation I
PWY-6677	Thiosulfate-Oxidation	thiosulfate oxidation IV (multienzyme complex)
PWY-6987	Lipoate-Biosynthesis	lipoate biosynthesis and incorporation III (Bacillus)
PWY-5296	Thiosulfate-Oxidation	thiosulfate oxidation III (multienzyme complex)
PWY0-501	Lipoate-Biosynthesis	lipoate biosynthesis and incorporation I
PWY-6984	Lipoate-Biosynthesis	lipoate salvage II
PWY-6608	Guanosine-Nucleotides-Degradation	guanosine nucleotides degradation III
PWY0-1275	Lipoate-Biosynthesis	lipoate biosynthesis and incorporation II
PWY0-522	Lipoate-Biosynthesis	lipoate salvage I
PWY-6946	Cholesterol-Degradation	cholesterol degradation to androstenedione II (cholesterol dehydrogenase)
PWY-6945	Cholesterol-Degradation	cholesterol degradation to androstenedione I (cholesterol oxidase)
PWY-6928	Super-Pathways	superpathway of cholesterol degradation I (cholesterol oxidase)
PWY-7686	L-Malate-Degradation	L-malate degradation II
PWY-6947	Super-Pathways	superpathway of cholesterol degradation II (cholesterol dehydrogenase)
PWY-6957	Super-Pathways	mandelate degradation to acetyl-CoA
PWY-1501	MANDELATE-DEG	mandelate degradation I
PWY-3561	Choline-Biosynthesis	choline biosynthesis III
PWY-7185	UTP-CTP-Dephosphorylation	UTP and CTP dephosphorylation I
PWY-3721	Choline-Degradation	choline degradation II
PWY-7177	UTP-CTP-Dephosphorylation	UTP and CTP dephosphorylation II
P542-PWY	Super-Pathways	choline-<i>O</i>-sulfate degradation
CHOLINE-BETAINE-ANA-PWY	Choline-Degradation	choline degradation I
PWY-7167	Choline-Degradation	choline degradation III
PWY-6894	Thiamin-Diphosphate-Biosynthesis	thiamine diphosphate biosynthesis I (E. coli)
PWY-6893	Thiamin-Diphosphate-Biosynthesis	thiamine diphosphate biosynthesis II (Bacillus)
ARO-PWY	Super-Pathways	chorismate biosynthesis I
PWY-6165	Super-Pathways	chorismate biosynthesis II (archaea)
PWY-6163	Chorismate-Biosynthesis	chorismate biosynthesis from 3-dehydroquinate
PWY-6907	Thiamin-Diphosphate-Biosynthesis	thiamine diphosphate biosynthesis III (Staphylococcus)
PWY-6327	Tetrathionate-Oxidation	tetrathionate oxidation
PWY-6853	Ethylene-Biosynthesis	ethylene biosynthesis II (microbes)
PWY-7124	Super-Pathways	ethylene biosynthesis V (engineered)
PWY-6854	Ethylene-Biosynthesis	ethylene biosynthesis III (microbes)
PWY-6826	PhosphatidylcholineBiosynthesis	phosphatidylcholine biosynthesis VI
ETOH-ACETYLCOA-ANA-PWY	Ethanol-Degradation	ethanol degradation I
PWY3O-450	PhosphatidylcholineBiosynthesis	phosphatidylcholine biosynthesis I
PWY66-21	Ethanol-Degradation	ethanol degradation II
PWY-6825	PhosphatidylcholineBiosynthesis	phosphatidylcholine biosynthesis V
PWY-7470	PhosphatidylcholineBiosynthesis	phosphatidylcholine biosynthesis VII
PROSYN-PWY	PROLINE-SYN	L-proline biosynthesis I
PWY-7787	SUGAR-ALCOHOLS-DEG	L-threitol degradation
GALACTITOLCAT-PWY	SUGAR-ALCOHOLS-DEG	galactitol degradation
SORBDEG-PWY	SUGAR-ALCOHOLS-DEG	D-sorbitol degradation II
MANNIDEG-PWY	SUGAR-ALCOHOLS-DEG	mannitol degradation I
PWY-7786	SUGAR-ALCOHOLS-DEG	D-threitol degradation
DARABITOLUTIL-PWY	SUGAR-ALCOHOLS-DEG	D-arabitol degradation
RIBITOLUTIL-PWY	SUGAR-ALCOHOLS-DEG	ribitol degradation
LARABITOLUTIL-PWY	SUGAR-ALCOHOLS-DEG	xylitol degradation
P562-PWY	SUGAR-ALCOHOLS-DEG	<I>myo</I>-inositol degradation I
PWY-7241	SUGAR-ALCOHOLS-DEG	<I>myo</I>-inositol degradation II
PWY-7862	SUGAR-ALCOHOLS-DEG	D-altritol and galactitol degradation
HEXITOLDEGSUPER-PWY	Super-Pathways	superpathway of hexitol degradation (bacteria)
PWY-4101	SUGAR-ALCOHOLS-DEG	D-sorbitol degradation I
PWY-7237	Super-Pathways	<i>myo</i>-, <i>chiro</i>- and <i>scyllo</i>-inositol degradation
PWY-7789	Erythritol-Degradation	erythritol degradation I
PWY-7788	Erythritol-Degradation	erythritol degradation II
PWY-7255	Ergothioneine-Biosynthesis	ergothioneine biosynthesis I (bacteria)
PWY-6580	Phosphatidylinositol-Biosynthesis	phosphatidylinositol biosynthesis I (bacteria)
PWY-6132	Sterol-Biosynthesis	lanosterol biosynthesis
PWY-8027	Sterol-Biosynthesis	parkeol biosynthesis
PWY-6074	Sterol-Biosynthesis	zymosterol biosynthesis
PWY-8026	Sterol-Biosynthesis	sterol biosynthesis (methylotrophs)
PWY-7588	Sterol-Biosynthesis	ursodeoxycholate biosynthesis (bacteria)
PWY-8022	SECONDARY-METABOLITE-DEGRADATION	salmochelin degradation
PWY0-1527	SECONDARY-METABOLITE-DEGRADATION	curcumin degradation
PWY-6995	SECONDARY-METABOLITE-DEGRADATION	5-hydroxymethylfurfural degradation
PWY0-1569	SECONDARY-METABOLITE-DEGRADATION	autoinducer AI-2 degradation
PWY-6971	Macrolides-Biosynthesis	oleandomycin biosynthesis
PWY-6633	CAFFEINE	caffeine degradation V (bacteria, via trimethylurate)
PWY-6538	CAFFEINE	caffeine degradation III (bacteria, via demethylation)
PWY1QP9-2	Sugar-Derivatives	fructoselysine and glucoselysine degradation
PWY-7106	Macrolides-Biosynthesis	erythromycin D biosynthesis
PWY-6632	Super-Pathways	caffeine degradation IV (bacteria, via demethylation and oxidation)
PWY-6507	Sugar-Derivatives	4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate degradation
PWY-6516	Super-Pathways	superpathway of microbial D-galacturonate and D-glucuronate degradation
PWY-7110	Super-Pathways	superpathway of megalomicin A biosynthesis
PWY0-521	Sugar-Derivatives	fructoselysine and psicoselysine degradation
PWY-7805	Phosphorus-Compounds	(aminomethyl)phosphonate degradation
P483-PWY	Phosphorus-Compounds	phosphonoacetate degradation
PWY-7421	Macrolides-Biosynthesis	narbomycin, pikromycin and novapikromycin biosynthesis
PWY-5491	Phosphorus-Compounds	diethylphosphate degradation
PWY-6348	Phosphorus-Compounds	phosphate acquisition
PHOSPHONOTASE-PWY	2-Aminoethylphosphonate-Degradation	2-aminoethylphosphonate degradation I
PWY-7677	Macrolides-Biosynthesis	rosamicin biosynthesis
PWY-6832	2-Aminoethylphosphonate-Degradation	2-aminoethylphosphonate degradation II
PWY-7447	2-Aminoethylphosphonate-Degradation	2-aminoethylphosphonate degradation III
PWY-6977	Super-Pathways	superpathway of erythromycin biosynthesis
PCPDEG-PWY	CHLORINATED-COMPOUNDS-DEG	pentachlorophenol degradation
PCEDEG-PWY	CHLORINATED-COMPOUNDS-DEG	tetrachloroethene degradation
GAMMAHEXCHLORDEG-PWY	CHLORINATED-COMPOUNDS-DEG	&gamma;-hexachlorocyclohexane degradation
PWY-7109	Macrolides-Biosynthesis	megalomicin A biosynthesis
12DICHLORETHDEG-PWY	CHLORINATED-COMPOUNDS-DEG	1,2-dichloroethane degradation
PWY-7425	2-Chloroacrylates-Degradation	2-chloroacrylate degradation I
PWY-7428	2-Chloroacrylates-Degradation	2-chloroacrylate degradation II
PWY-7415	Macrolides-Biosynthesis	tylosin biosynthesis
PWY-2221	Entner-Duodoroff-Pathways	Entner-Doudoroff pathway III (semi-phosphorylative)
NPGLUCAT-PWY	Entner-Duodoroff-Pathways	Entner-Doudoroff pathway II (non-phosphorylative)
PWY-5419	Catechol-Degradation	catechol degradation to 2-hydroxypentadienoate II
PWY-7624	Macrolides-Biosynthesis	nystatin biosynthesis
ENTNER-DOUDOROFF-PWY	Entner-Duodoroff-Pathways	Entner-Doudoroff shunt
PWY-8004	Super-Pathways	Entner-Doudoroff pathway I
P183-PWY	Catechol-Degradation	catechol degradation to 2-hydroxypentadienoate I
PWY-6975	Super-Pathways	superpathway of erythromycin biosynthesis (without sugar biosynthesis)
PWY-5420	Super-Pathways	catechol degradation II (<I>meta</I>-cleavage pathway)
PWY-5415	Super-Pathways	catechol degradation I (<I>meta</I>-cleavage pathway)
PWY-5431	Super-Pathways	aromatic compounds degradation via &beta;-ketoadipate
PWY-7108	Macrolides-Biosynthesis	erythromycin A biosynthesis
PWY-5857	Ubiquinone-Biosynthesis	ubiquinol-10 biosynthesis (prokaryotic)
PWY-5417	Super-Pathways	catechol degradation III (ortho-cleavage pathway)
CATECHOL-ORTHO-CLEAVAGE-PWY	Catechol-Degradation	catechol degradation to &beta;-ketoadipate
PWY-7412	Macrolides-Biosynthesis	mycinamicin biosynthesis
PWY-6079	2-Aminobenzoate-Degradation	anthranilate degradation I (aerobic)
PWY-6504	2-Aminobenzoate-Degradation	anthranilate degradation IV (aerobic)
PWY-7422	Macrolides-Biosynthesis	methymycin, neomethymycin and novamethymycin biosynthesis
2AMINOBENZDEG-PWY	2-Aminobenzoate-Degradation	anthranilate degradation III (anaerobic)
PWY-6077	2-Aminobenzoate-Degradation	anthranilate degradation II (aerobic)
PWY-7100	Insecticides-Biosynthesis	spinosyn A biosynthesis
PWY-5856	Ubiquinone-Biosynthesis	ubiquinol-9 biosynthesis (prokaryotic)
COLANSYN-PWY	Super-Pathways	colanic acid building blocks biosynthesis
PWY-6708	Ubiquinone-Biosynthesis	ubiquinol-8 biosynthesis (prokaryotic)
PWY-5782	Carbohydrates-Biosynthesis	2-keto-L-gulonate biosynthesis
PWY-5855	Ubiquinone-Biosynthesis	ubiquinol-7 biosynthesis (prokaryotic)
PWY-3641	CARN-DEG	L-carnitine degradation III
PWY-7944	C50-Carotenoids-Biosynthesis	bacterioruberin biosynthesis
PWY18HP-2	C50-Carotenoids-Biosynthesis	decaprenoxanthin diglucoside biosynthesis
PWY-7946	C50-Carotenoids-Biosynthesis	sarcinaxanthin diglucoside biosynthesis
PWY-7945	C50-Carotenoids-Biosynthesis	C.p.450 monoglucoside biosynthesis
CALVIN-PWY	Photosynthesis	Calvin-Benson-Bassham cycle
PWY-7471	CARN-DEG	D-carnitine degradation I
CARNMET-PWY	CARN-DEG	L-carnitine degradation I
PWY-7472	CARN-DEG	D-carnitine degradation II
PWY-3602	CARN-DEG	L-carnitine degradation II
OANTIGEN-PWY	Super-Pathways	<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>)
PWY0-1241	ADP-Sugar-Biosynthesis	ADP-L-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose biosynthesis
PWY-6805	Glycan-Degradation	cellulose degradation I (cellulosome)
PWY-6784	Metabolic-Clusters	cellulose and hemicellulose degradation (cellulolosome)
PWY-5382	Hydrogen-Oxidation	hydrogen oxidation II (aerobic, NAD)
P283-PWY	Hydrogen-Oxidation	hydrogen oxidation I (aerobic)
PWY-6512	Hydrogen-Oxidation	hydrogen oxidation III (anaerobic, NADP)
PWY-7703	TOLUENE-DEG	2,4-xylenol degradation to protocatechuate
TOLUENE-DEG-3-OH-PWY	TOLUENE-DEG	toluene degradation to 2-hydroxypentadienoate (<I>via 4-methylcatechol</i>)
TOLUENE-DEG-DIOL-PWY	TOLUENE-DEG	toluene degradation to 2-hydroxypentadienoate (<I>via</I> toluene-<I>cis</I>-diol)
PWY-7700	TOLUENE-DEG	4-methylphenol degradation to protocatechuate
TOLUENE-DEG-2-OH-PWY	TOLUENE-DEG	toluene degradation to 2-hydroxypentadienoate I (<I>via</I> <i>o</I>-cresol)
TOLUENE-DEG-CATECHOL-PWY	TOLUENE-DEG	toluene degradation to benzoate
PWY-81	TOLUENE-DEG	toluene degradation to benzoyl-CoA (anaerobic)
TOLUENE-DEG-4-OH-PWY	TOLUENE-DEG	toluene degradation to 4-methylphenol
PWY-5359	Tetrathionate-Reduction	tetrathionate reductiuon II (to trithionate)
PWY-7554	HEME-SYN	heme <i>d</i><sub>1</sub> biosynthesis
PWY-7856	HEME-SYN	heme <i>a</i> biosynthesis
PWY-7552	Heme-b-Biosynthesis	heme <i>b</i> biosynthesis III (from siroheme)
HEME-BIOSYNTHESIS-II	Heme-b-Biosynthesis	heme <i>b</i> biosynthesis I (aerobic)
PWY-5920	Super-Pathways	superpathway of <i>b</i> heme biosynthesis from glycine
PWY0-1415	Super-Pathways	superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III
PWY-5918	Super-Pathways	superpathay of heme <i>b</i> biosynthesis from glutamate
PWY-7766	Heme-b-Biosynthesis	heme <i>b</i> biosynthesis IV (Gram-positive bacteria)
HEMESYN2-PWY	Heme-b-Biosynthesis	heme <i>b</i> biosynthesis II (anaerobic)
PWY-5766	GLUTAMATE-DEG	L-glutamate degradation X
PWY-5087	GLUTAMATE-DEG	L-glutamate degradation VI (to pyruvate)
GLUTAMATE-DEG1-PWY	GLUTAMATE-DEG	L-glutamate degradation I
PWY-5358	Tetrathionate-Reduction	tetrathionate reduction I (to thiosulfate)
PWY-101	Photosynthesis	photosynthesis light reactions
PWY0-1591	Electron-Transfer	glycerol-3-phosphate to hydrogen peroxide electron transport
PWY-7980	Transport-Pathways	ATP biosynthesis
PWY0-1590	Electron-Transfer	NADH to hydrogen peroxide electron transfer
GLUTSYNIII-PWY	GLUTAMATE-SYN	L-glutamate biosynthesis III
GLUTSYN-PWY	GLUTAMATE-SYN	L-glutamate biosynthesis I
PWY-5505	Super-Pathways	L-glutamate and L-glutamine biosynthesis
GLUTAMATE-SYN2-PWY	GLUTAMATE-SYN	L-glutamate biosynthesis II
PWY-4341	GLUTAMATE-SYN	L-glutamate biosynthesis V
PWY-5875	TRITERPENOID-SYN	staphyloxanthin biosynthesis
PWY-8028	TRITERPENOID-SYN	cycloartenol biosynthesis
PWY-7050	Eicosapentaenoate-Biosynthesis	icosapentaenoate biosynthesis IV (bacteria)
